issue_key,tier,rule,file,baseline_line,status
AaCOHzJa9tFduPng0-D7,T2,typescript:S3776,web/src/components/overlay/detail/TrackingDetails.tsx,70,open
AaCOHyUE9tFduPng09zB,T2,python:S3776,frigate/genai/plugins/gemini.py,52,open
AaCOHyUE9tFduPng09zD,T2,python:S3776,frigate/genai/plugins/gemini.py,428,open
AaCOHyTh9tFduPng09yv,T2,python:S3776,frigate/genai/plugins/openai.py,308,open
AaCOHzIE9tFduPng0-DV,T2,typescript:S3776,web/src/components/classification/ClassificationModelEditDialog.tsx,291,open
AaCOHyWR9tFduPng09zi,T2,python:S3776,frigate/embeddings/maintainer.py,95,open
AaCOHyth9tFduPng097o,T2,python:S3776,frigate/comms/dispatcher.py,111,open
AaCOHygC9tFduPng093O,T2,python:S3776,frigate/data_processing/real_time/audio_transcription.py,78,open
AaCOHyT59tFduPng09y5,T2,python:S3776,frigate/genai/plugins/llama_cpp.py,26,open
AaCOHyue9tFduPng098k,T2,python:S3776,frigate/ptz/autotrack.py,796,open
AaCOHyj-9tFduPng094F,T2,python:S3776,frigate/record/export.py,386,open
AaCOHyxY9tFduPng099Q,T2,python:S3776,frigate/stats/emitter.py,51,open
AaCOHyqj9tFduPng097F,T2,python:S3776,frigate/util/config.py,765,open
AaCOHyo89tFduPng096f,T2,python:S3776,frigate/util/services.py,1253,open
AaCOHyts9tFduPng097v,T2,python:S3776,frigate/comms/mqtt.py,244,open
AaCOHybx9tFduPng091Y,T2,python:S3776,frigate/api/auth.py,323,open
AaCOHyA99tFduPng09xE,T2,python:S3776,frigate/camera/activity_manager.py,96,open
AaCOHyj-9tFduPng094H,T2,python:S3776,frigate/record/export.py,686,open
AaCOHyaI9tFduPng0904,T2,python:S3776,frigate/api/media.py,1329,open
AaCOHyaI9tFduPng0905,T2,python:S3776,frigate/api/media.py,1502,open
AaCOHynw9tFduPng096A,T2,python:S3776,frigate/util/object.py,491,open
AaCOHzMK9tFduPng0-FI,T2,typescript:S3776,web/src/components/overlay/ExportDialog.tsx,399,open
AaCOHzic9tFduPng0-Mu,T2,typescript:S3776,web/src/pages/Settings.tsx,766,open
AaCOHzic9tFduPng0-Mv,T2,typescript:S3776,web/src/pages/Settings.tsx,904,open
AaCOHy9M9tFduPng0-BR,T2,typescript:S3776,web/src/components/config-form/theme/templates/ObjectFieldTemplate.tsx,40,open
AaCOHyj-9tFduPng094D,T2,python:S3776,frigate/record/export.py,151,open
AaCOH0R69tFduPng0-aV,T2,python:S3776,generate_api_auth_spec.py,475,open
AaCOHyue9tFduPng098a,T2,python:S3776,frigate/ptz/autotrack.py,81,open
AaCOHybX9tFduPng091M,T2,python:S3776,frigate/api/chat.py,1128,open
AaCOHzkW9tFduPng0-Nj,T2,typescript:S3776,web/src/utils/chatUtil.ts,45,open
AaCOHy849tFduPng0-BM,T2,typescript:S3776,web/src/components/config-form/theme/templates/FieldTemplate.tsx,61,open
AaCOH0PK9tFduPng0-Zs,T1,pythonsecurity:S8707,testing-scripts/object_dataset.py,244,reviewed-false-positive-confirmed
AaCOH0PK9tFduPng0-Zq,T2,python:S3776,testing-scripts/object_dataset.py,533,open
AaCOH0PK9tFduPng0-Zt,T1,pythonsecurity:S8707,testing-scripts/object_dataset.py,845,reviewed-false-positive-confirmed
AaCOH0PK9tFduPng0-Zr,T2,python:S3776,testing-scripts/object_dataset.py,861,open
AaCOHyil9tFduPng0930,T2,python:S3776,frigate/config/profile_manager.py,394,open
AaCOHyk99tFduPng094i,T2,python:S3776,frigate/jobs/motion_search.py,748,open
AaCOHzvH9tFduPng0-SW,T2,typescript:S3776,web/src/views/motion-search/MotionSearchDialog.tsx,90,open
AaCOHzu89tFduPng0-SI,T2,typescript:S3776,web/src/views/motion-search/MotionSearchView.tsx,96,open
AaCOHyqj9tFduPng097D,T2,python:S3776,frigate/util/config.py,528,open
AaCOHyZo9tFduPng090S,T2,python:S3776,frigate/api/camera.py,611,open
AaCOHzug9tFduPng0-Rx,T2,typescript:S3776,web/src/views/recording/RecordingView.tsx,101,open
AaCOHyu99tFduPng0981,T2,python:S3776,frigate/events/audio.py,109,open
AaCOHyu99tFduPng0983,T2,python:S3776,frigate/events/audio.py,261,open
AaCOHyu99tFduPng0985,T2,python:S3776,frigate/events/audio.py,389,open
AaCOHy659tFduPng0-AM,T2,typescript:S3776,web/src/components/settings/CloneCameraDialog.tsx,370,open
AaCOHy659tFduPng0-AO,T2,typescript:S2004,web/src/components/settings/CloneCameraDialog.tsx,812,open
AaCOHzky9tFduPng0-Nq,T2,typescript:S3776,web/src/utils/cameraClone.ts,62,open
AaCOHzky9tFduPng0-Nw,T2,typescript:S3776,web/src/utils/cameraClone.ts,468,open
AaCOHyt19tFduPng097x,T2,python:S3776,frigate/comms/runtime_state.py,118,open
AaCOHyix9tFduPng0935,T2,python:S3776,frigate/config/config.py,630,open
AaCOHyxE9tFduPng099J,T2,python:S3776,frigate/stats/util.py,214,open
AaCOHyix9tFduPng0934,T2,python:S3776,frigate/config/config.py,328,open
AaCOHzuT9tFduPng0-Rq,T2,typescript:S3776,web/src/views/live/LiveCameraView.tsx,845,open
AaCOHzrj9tFduPng0-P3,T2,typescript:S3776,web/src/views/settings/CameraManagementView.tsx,560,open
AaCOHydM9tFduPng0915,T2,python:S3776,frigate/api/app.py,684,open
AaCOHzjp9tFduPng0-NT,T2,typescript:S3776,web/src/utils/configUtil.ts,201,open
AaCOHyBU9tFduPng09xQ,T2,python:S3776,frigate/camera/maintainer.py,245,open
AaCOHyBK9tFduPng09xL,T2,python:S3776,frigate/camera/state.py,349,open
AaCOHzE69tFduPng0-Cj,T2,typescript:S3776,web/src/components/config-form/sections/BaseSection.tsx,195,open
AaCOHyUE9tFduPng09zC,T2,python:S3776,frigate/genai/plugins/gemini.py,172,open
AaCOHyT59tFduPng09y6,T2,python:S3776,frigate/genai/plugins/llama_cpp.py,208,open
AaCOHyTt9tFduPng09y0,T2,python:S3776,frigate/genai/plugins/ollama.py,380,open
AaCOHydM9tFduPng0910,T2,python:S3776,frigate/api/app.py,291,open
AaCOHzEb9tFduPng0-Cf,T2,typescript:S3776,web/src/components/config-form/sections/section-special-cases.ts,148,open
AaCOHysF9tFduPng097P,T2,python:S3776,frigate/comms/ws.py,218,open
AaCOHysF9tFduPng097Q,T2,python:S3776,frigate/comms/ws.py,367,open
AaCOHybX9tFduPng091B,T2,python:S3776,frigate/api/chat.py,144,open
AaCOHybX9tFduPng091D,T2,python:S3776,frigate/api/chat.py,237,open
AaCOHyT59tFduPng09y-,T2,python:S3776,frigate/genai/plugins/llama_cpp.py,854,open
